,V_value,count
0,-1.153458476772748,0.43764299381508914
1,-1.1404291034980003,0.49971148454629344
2,-1.1273997302232528,0.5697190588344487
3,-1.114370356948505,0.6485511485622579
4,-1.1013409836737573,0.737173618427491
5,-1.0883116103990098,0.8366376476274421
6,-1.075282237124262,0.94808459363666
7,-1.0622528638495143,1.0727507885463188
8,-1.0492234905747668,1.211972212475481
9,-1.036194117300019,1.3671889825185362
10,-1.0231647440252714,1.539949589635385
11,-1.0101353707505238,1.7319148099076405
12,-0.9971059974757761,1.9448612107712604
13,-0.9840766242010284,2.1806841672999204
14,-0.9710472509262807,2.44140029846925
15,-0.9580178776515331,2.7291492287027235
16,-0.9449885043767854,3.0461945760166684
17,-0.9319591311020378,3.394924064880142
18,-0.9189297578272901,3.7778486596257577
19,-0.9059003845525424,4.197600613031984
20,-0.8928710112777948,4.656930324687768
21,-0.8798416380030472,5.158701905085794
22,-0.8668122647282994,5.705887344204409
23,-0.8537828914535518,6.301559187755572
24,-0.8407535181788042,6.948881630410227
25,-0.8277241449040564,7.6510999432612
26,-0.8146947716293088,8.411528162627842
27,-0.8016653983545612,9.233534979103931
28,-0.7886360250798135,10.120527779534214
29,-0.7756066518050658,11.075934810381305
30,-0.7625772785303182,12.103185448687192
31,-0.7495479052555705,13.205688586482799
32,-0.7365185319808228,14.386809155960043
33,-0.7234891587060752,15.649842845859895
34,-0.7104597854313275,16.997989084174442
35,-0.6974304121565799,18.434322388199565
36,-0.6844010388818322,19.96176220995509
37,-0.6713716656070845,21.583041432720297
38,-0.6583422923323369,23.300673702586828
39,-0.6453129190575893,25.11691980714534
40,-0.6322835457828415,27.033753341300837
41,-0.6192541725080939,29.052825927335046
42,-0.6062247992333463,31.175432282255457
43,-0.5931954259585985,33.402475449730474
44,-0.5801660526838509,35.73443253603811
45,-0.5671366794091033,38.17132130897798
46,-0.5541073061343555,40.71266803514562
47,-0.5410779328596079,43.357476943892216
48,-0.5280485595848603,46.10420171525915
49,-0.5150191863101126,48.95071939378745
50,-0.5019898130353649,51.89430713000005
